日期,三月期收益率,六月期收益率,一年期收益率,二年期收益率,三年期收益率,五年期收益率,七年期收益率,十年期收益率,二十年期收益率,三十年期收益率
2015/7/8,0.019634,0.020537,0.022655,0.025534,0.028402,0.031249,0.034481,0.034307,0.037814,0.039344
2015/7/9,0.020827,0.022014,0.022655,0.025407,0.028148,0.031061,0.034399,0.034358,0.037864,0.039394
2015/7/10,0.022668,0.022867,0.023555,0.025895,0.028226,0.031226,0.034698,0.034885,0.038389,0.039919
2015/7/13,0.023095,0.022398,0.024455,0.026425,0.028391,0.031448,0.034741,0.035014,0.038161,0.039708
2015/7/14,0.023603,0.02384,0.024486,0.026482,0.028475,0.031711,0.035016,0.035341,0.038212,0.039769
2015/7/15,0.023352,0.024038,0.024368,0.026429,0.028485,0.031715,0.035098,0.035495,0.038132,0.039769
2015/7/16,0.023767,0.024039,0.024471,0.026483,0.028485,0.031569,0.034962,0.035208,0.037929,0.039566
2015/7/17,0.023894,0.024315,0.024501,0.026507,0.028487,0.031563,0.034706,0.035123,0.037727,0.039364
2015/7/20,0.023387,0.024238,0.024583,0.026548,0.028503,0.031573,0.034623,0.035009,0.037842,0.039479
2015/7/21,0.023273,0.024064,0.024417,0.026323,0.028201,0.031765,0.034773,0.035214,0.038047,0.039684
2015/7/22,0.022183,0.02394,0.024071,0.0263,0.028485,0.031586,0.034825,0.035145,0.037978,0.039615
2015/7/23,0.021183,0.023538,0.023335,0.02588,0.028373,0.031658,0.034284,0.034751,0.037952,0.039593
2015/7/24,0.021189,0.022701,0.023359,0.025865,0.028378,0.031576,0.033986,0.034602,0.037803,0.039231
2015/7/27,0.020589,0.022475,0.023113,0.025716,0.028308,0.031596,0.034093,0.034602,0.037803,0.039231
2015/7/28,0.021022,0.022482,0.022617,0.025659,0.028654,0.031501,0.034078,0.034401,0.037603,0.039031
2015/7/29,0.021522,0.021964,0.022388,0.025331,0.028202,0.031553,0.033938,0.034302,0.037503,0.038931
2015/7/30,0.02181,0.022423,0.022318,0.025585,0.028681,0.031617,0.033945,0.034402,0.037603,0.039031
2015/7/31,0.02212,0.022373,0.02253,0.025707,0.028712,0.031798,0.034468,0.034752,0.037954,0.039381
2015/8/3,0.022003,0.022314,0.023038,0.025997,0.028888,0.032048,0.034613,0.0347,0.037902,0.039329
2015/8/4,0.021743,0.022774,0.023254,0.02604,0.028777,0.031981,0.034613,0.0347,0.037902,0.039453
2015/8/5,0.021469,0.022633,0.022428,0.02575,0.028852,0.03203,0.034614,0.034701,0.038302,0.039491
2015/8/6,0.021665,0.02226,0.022073,0.025575,0.028867,0.031646,0.034599,0.0346,0.038202,0.039391
2015/8/7,0.020865,0.022014,0.021753,0.025458,0.028891,0.031633,0.034204,0.034553,0.038153,0.039342
2015/8/10,0.021567,0.02164,0.021843,0.025481,0.028876,0.031799,0.034223,0.034755,0.038355,0.039544
2015/8/11,0.022377,0.022011,0.022433,0.026125,0.029594,0.032516,0.03504,0.035256,0.038436,0.039625
2015/8/12,0.022191,0.022373,0.023181,0.026458,0.029635,0.032661,0.035191,0.035402,0.038582,0.039771
2015/8/13,0.022484,0.02269,0.022883,0.026218,0.029397,0.032649,0.034856,0.035153,0.038333,0.039522
2015/8/14,0.022023,0.022449,0.023273,0.026216,0.029117,0.032557,0.034883,0.035052,0.038232,0.039421
2015/8/17,0.022509,0.022578,0.022466,0.025957,0.029324,0.032521,0.035032,0.035176,0.038357,0.039546
2015/8/18,0.022395,0.022596,0.022621,0.025994,0.029249,0.032623,0.035104,0.035126,0.038309,0.039498
2015/8/19,0.022509,0.022651,0.022571,0.025982,0.029263,0.032705,0.035119,0.035201,0.038384,0.039573
2015/8/20,0.022996,0.022695,0.022608,0.025983,0.029211,0.032723,0.035199,0.035051,0.038398,0.039751
2015/8/21,0.022524,0.022521,0.022608,0.025949,0.029132,0.032463,0.035048,0.034951,0.038298,0.039651
2015/8/24,0.022111,0.02247,0.022807,0.026141,0.029325,0.032399,0.034898,0.034701,0.038049,0.039402
2015/8/25,0.022337,0.022469,0.0228,0.026179,0.029375,0.03202,0.034788,0.034577,0.037925,0.039278
2015/8/26,0.022537,0.022598,0.022657,0.026039,0.029234,0.031924,0.034548,0.03429,0.037638,0.039112
2015/8/27,0.022737,0.02281,0.022661,0.026081,0.029256,0.031689,0.033999,0.033902,0.03725,0.038724
2015/8/28,0.022495,0.022628,0.022735,0.026081,0.029202,0.031633,0.033762,0.033803,0.037151,0.038625
2015/8/31,0.022608,0.023,0.022519,0.026069,0.02931,0.031345,0.0333,0.033252,0.0366,0.038074
2015/9/1,0.022549,0.022829,0.022628,0.026191,0.029348,0.031178,0.033149,0.033002,0.03663,0.038014
2015/9/2,0.022434,0.022497,0.022586,0.026202,0.029493,0.031428,0.033149,0.033002,0.03663,0.038014
2015/9/6,0.021862,0.022766,0.02254,0.026155,0.029405,0.031459,0.033249,0.033203,0.03683,0.038214
2015/9/7,0.022133,0.022916,0.022643,0.026338,0.029659,0.031924,0.033498,0.033352,0.036979,0.038517
2015/9/8,0.022482,0.023007,0.022736,0.026465,0.029774,0.031763,0.033564,0.033603,0.037229,0.03831
2015/9/9,0.022068,0.023059,0.022543,0.026491,0.029902,0.031843,0.033457,0.033478,0.037104,0.038185
2015/9/10,0.022078,0.022996,0.022546,0.026511,0.029938,0.031901,0.033549,0.033453,0.037079,0.03816
2015/9/11,0.022194,0.023266,0.022543,0.026374,0.029764,0.031918,0.0334,0.033404,0.03703,0.038111
2015/9/14,0.021707,0.022957,0.022862,0.026499,0.029708,0.031718,0.033448,0.033303,0.036929,0.03801
2015/9/15,0.021769,0.022728,0.023261,0.026599,0.029683,0.031562,0.033149,0.033104,0.036739,0.03782
2015/9/16,0.021671,0.022597,0.02333,0.026619,0.029681,0.031413,0.033248,0.033103,0.036738,0.03812
2015/9/17,0.02197,0.022507,0.023062,0.026614,0.029822,0.031666,0.0332,0.033204,0.036839,0.03797
2015/9/18,0.02227,0.023196,0.023292,0.026677,0.029739,0.031467,0.033297,0.033105,0.03674,0.037828
2015/9/21,0.022646,0.023295,0.023271,0.02684,0.029905,0.031419,0.033249,0.033204,0.03709,0.038178
2015/9/22,0.022492,0.023039,0.023078,0.026775,0.029815,0.031548,0.033299,0.033255,0.0374,0.038488
2015/9/23,0.022525,0.023095,0.023086,0.027111,0.030098,0.031507,0.033399,0.033354,0.037502,0.038612
2015/9/24,0.022641,0.023193,0.022893,0.027003,0.029981,0.03132,0.03327,0.03318,0.037452,0.038715
2015/9/25,0.022533,0.023423,0.023625,0.026949,0.029771,0.031226,0.033248,0.033101,0.037373,0.038769
2015/9/28,0.02242,0.023294,0.024032,0.027033,0.029605,0.030929,0.033048,0.032906,0.037178,0.038574
2015/9/29,0.021939,0.023193,0.02389,0.027003,0.029483,0.030574,0.032696,0.032457,0.037408,0.038804
2015/9/30,0.022139,0.023299,0.023919,0.026715,0.029183,0.030529,0.032598,0.032362,0.037313,0.038709
2015/10/8,0.021806,0.023177,0.024031,0.026588,0.029041,0.030433,0.032474,0.032409,0.03736,0.038756
2015/10/9,0.022259,0.022916,0.024091,0.026396,0.028535,0.029739,0.031794,0.031486,0.03686,0.038256
2015/10/10,0.022348,0.022826,0.024116,0.026315,0.028389,0.029538,0.031539,0.031612,0.036985,0.038381
2015/10/12,0.022553,0.023199,0.024269,0.026436,0.028497,0.029641,0.031598,0.031488,0.037185,0.038581
2015/10/13,0.022753,0.023393,0.024186,0.026359,0.028296,0.029237,0.031246,0.031064,0.037324,0.03872
2015/10/14,0.023474,0.023394,0.024084,0.026263,0.028037,0.028729,0.030548,0.030414,0.036725,0.038125
