,日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM市值加权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2263,2015-09-18,3251.273,3799.29,26554308587847.6,19667860088140.0,7904344508938.293,11.8771,0.3289,26.0389,15.2012,10.3894
2262,2015-09-21,3308.247,3865.87,26887744503451.99,19932457909745.0,8042399041411.85,12.0262,0.3324,26.0389,15.2021,10.3894
2261,2015-09-22,3339.03,3901.84,27131291029820.598,20105104368745.0,8115620302359.262,12.1351,0.3365,26.0389,15.2021,10.3894
2260,2015-09-23,3263.028,3813.89,26501750000576.902,19639256574248.0,7930140861931.78,11.8536,0.3283,26.0389,15.2021,10.3894
2259,2015-09-24,3284.999,3839.62,26641542181179.6,19750796273255.0,7983734886872.733,11.9142,0.3311,26.0389,15.2021,10.3894
2258,2015-09-25,3231.951,3777.62,26358637127709.6,19534733021216.0,7853794780663.085,11.7877,0.3273,26.0389,15.2012,10.3894
2257,2015-09-28,3242.752,3790.25,26350961163992.508,19526986621096.0,7881517332438.15,11.7842,0.3274,26.0389,15.2021,10.3894
2256,2015-09-29,3178.854,3715.63,25829662522222.117,19133417533778.0,7726090857350.874,11.5508,0.3085,26.0389,15.2021,10.3894
2255,2015-09-30,3202.948,3743.8,25972336343535.703,19249884133964.0,7826889067510.696,11.6167,0.3138,26.0389,15.2021,10.3894
2254,2015-10-08,3296.482,3853.12,26678592180693.51,19782373836876.0,8057645017035.06,11.9325,0.3332,26.0389,15.2021,10.3894
2253,2015-10-09,3340.116,3904.13,27000700860020.1,20040035914474.0,8164454122643.626,12.0766,0.3364,26.0389,15.2012,10.3894
2252,2015-10-12,3447.693,4030.41,27802537719825.105,20656970323267.0,8429706498023.18,12.4365,0.3476,26.0389,15.2021,10.3894
2251,2015-10-13,3445.043,4027.35,27723681007789.008,20604225409691.0,8423818427817.25,12.4012,0.3472,26.0389,15.2021,10.3894
2250,2015-10-14,3406.112,3981.84,27468108041627.71,20474777185349.0,8327981464759.12,12.2869,0.3439,26.0389,15.2021,10.3894
2249,2015-10-15,3486.815,4076.19,28018288737843.3,20885892151212.0,8528184342478.906,12.5331,0.3542,26.0389,15.2021,10.3894
2248,2015-10-16,3534.065,4131.42,28381456892548.406,21172079063971.0,8643352119322.674,12.6909,0.3598,26.0389,15.2012,10.3894
2247,2015-10-19,3534.182,4131.56,28370160926956.406,21160470569075.0,8644599086696.466,12.6858,0.3596,26.0389,15.2021,10.3894
2246,2015-10-20,3577.703,4182.55,28668863180858.98,21387601040678.0,8750925345922.394,12.8161,0.3657,26.0389,15.2021,10.3894
2245,2015-10-21,3473.254,4060.44,28157638383707.9,20989904265404.0,8492474385804.274,12.5854,0.3567,26.0389,15.2021,10.3894
2244,2015-10-22,3524.534,4120.39,28386041658741.31,21152657807931.0,8618095851729.955,12.6875,0.3604,26.0389,15.2021,10.3894
2243,2015-10-23,3571.241,4174.99,28643806992471.91,21360136239276.0,8732100026968.462,12.7846,0.366,26.0389,15.2012,10.3894
2242,2015-10-26,3589.261,4196.06,28766799134732.1,21457036197494.0,8773264510980.514,12.8605,0.3682,26.0389,15.2021,10.3894
2241,2015-10-27,3592.879,4200.29,28720678726575.41,21440072562351.0,8781911511279.534,12.8601,0.3682,26.0389,15.2021,10.3894
2240,2015-10-28,3524.92,4120.84,28282512503780.508,21104700994244.0,8610873308077.875,12.6741,0.3591,26.0389,15.2021,10.3894
2239,2015-10-29,3533.307,4130.65,28303291384631.6,21129068268290.0,8634906959070.658,12.7424,0.3649,26.0389,15.2021,10.3894
2238,2015-10-30,3534.079,4131.55,28276130628110.1,21099510096246.0,8692317624812.734,12.992,0.3738,26.0389,15.2012,10.3894
2237,2015-11-02,3475.962,4063.61,27825003383752.9,20750917468264.0,8532355466890.61,12.7901,0.3674,26.0389,15.2021,10.3894
2236,2015-11-03,3465.493,4051.37,27690517635912.496,20658156255051.0,8507361209511.922,12.7283,0.3645,26.0389,15.2021,10.3894
